               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.035617,            0.012995,                   0,             0.99999,                   1,               0.995,             0.50733,            0.020536,           0.0043875,                   0,           0.0006403,           0.0006403,             0.06914
                  79,             0.03737,            0.013165,                   0,             0.99991,                   1,               0.995,             0.57799,            0.018847,           0.0042375,                   0,          0.00062023,          0.00062023,             0.06872
                  80,            0.034474,            0.012687,                   0,             0.99989,                   1,               0.995,             0.62811,            0.018365,           0.0042321,                   0,          0.00060059,          0.00060059,            0.068301
                  81,            0.034769,             0.01229,                   0,             0.99992,                   1,               0.995,             0.59472,            0.018801,           0.0043446,                   0,          0.00058145,          0.00058145,            0.067881
                  82,            0.032429,            0.013526,                   0,             0.99994,                   1,               0.995,             0.63886,            0.017614,           0.0042958,                   0,          0.00056287,          0.00056287,            0.067463
                  83,            0.035036,             0.01271,                   0,             0.99996,                   1,               0.995,             0.60775,            0.018623,           0.0042221,                   0,          0.00054493,          0.00054493,            0.067045
                  84,            0.035372,            0.012716,                   0,             0.99999,                   1,               0.995,             0.63062,            0.016973,            0.004141,                   0,          0.00052769,          0.00052769,            0.066628
                  85,            0.032246,            0.012831,                   0,             0.99996,                   1,               0.995,             0.64259,            0.019111,           0.0041191,                   0,          0.00051123,          0.00051123,            0.066211
                  86,            0.035163,            0.012847,                   0,              0.9999,                   1,               0.995,             0.61833,             0.02029,           0.0040454,                   0,          0.00049561,          0.00049561,            0.065796
                  87,            0.032426,            0.012518,                   0,             0.99993,                   1,               0.995,             0.62843,            0.018551,           0.0043257,                   0,          0.00048091,          0.00048091,            0.065381
                  88,            0.032344,             0.01179,                   0,              0.9999,                   1,               0.995,             0.57527,            0.018321,           0.0045002,                   0,          0.00046718,          0.00046718,            0.064967
                  89,            0.032272,            0.013431,                   0,             0.99988,                   1,               0.995,             0.64334,            0.017154,           0.0042793,                   0,          0.00045451,          0.00045451,            0.064555
                  90,            0.033143,            0.012476,                   0,                   1,             0.99996,               0.995,             0.59716,             0.01939,           0.0042261,                   0,          0.00044295,          0.00044295,            0.064143
                  91,            0.032569,            0.012356,                   0,             0.99996,                   1,               0.995,             0.64751,            0.017886,           0.0040269,                   0,          0.00043257,          0.00043257,            0.063733
                  92,            0.032954,            0.013897,                   0,             0.99993,                   1,               0.995,              0.6177,            0.018346,           0.0040366,                   0,          0.00042345,          0.00042345,            0.063323
                  93,            0.033735,            0.012229,                   0,             0.99989,                   1,               0.995,             0.58178,            0.019465,           0.0040143,                   0,          0.00041564,          0.00041564,            0.062916
                  94,            0.033107,            0.011165,                   0,             0.99994,                   1,               0.995,             0.62133,            0.018643,           0.0041591,                   0,          0.00040921,          0.00040921,            0.062509
                  95,             0.03181,            0.012743,                   0,             0.99997,                   1,               0.995,             0.61258,            0.017596,           0.0042381,                   0,          0.00040422,          0.00040422,            0.062104
                  96,            0.032722,            0.012822,                   0,             0.99999,                   1,               0.995,             0.66782,            0.016752,           0.0042406,                   0,          0.00040073,          0.00040073,            0.061701
                  97,            0.033763,            0.012132,                   0,             0.99998,                   1,               0.995,             0.64997,            0.016613,           0.0042255,                   0,          0.00039881,          0.00039881,            0.061299
                  98,            0.031354,            0.012728,                   0,             0.99991,                   1,               0.995,             0.62765,            0.017361,           0.0042071,                   0,          0.00039851,          0.00039851,            0.060899
                  99,             0.03267,            0.012293,                   0,             0.99999,                   1,               0.995,             0.63669,            0.017511,             0.00416,                   0,          0.00039989,          0.00039989,              0.0605
